Vendor_Code,Vendor_Name,Distribution_GL_Account,Phase_Code,Cost_Type,Vendor_Contact,Vendor_Address,Account_Reference,WO_GL_Codes
    BAYMET,Bay Metals,5030,320,M,(415) 821-3888,"1464 Davidson Avenue
San Francisco, CA 94124",,5260
    BERLIN,Berlin Food & Lab Equipment,5030,320,M,,,,5260
    BIGCRA,BIGGIE CRANE & RIGGING CO.,5060,600,S,,"P. O. BOX 511372
LOS ANGELES, CA 90051-7927",C1000117,5340
    BLULIN,BLUE LINE TRANSFER,,,,(650) 589-5511,"500 E Jamie Ct
SOUTH SAN FRANCISCO, CA 94080",,
    BREAWA,BREAK AWAY CONCRETE CUTTING,9999,,,(408) 920-9668,"P.O. BOX 13037
COYOTE, CA 95013",,
    CALHYD,California Hydronics Corp,5030,320,M,(510) 293-3080,"P.O. Box 55602
Hayward, 94 94545-0602",,5260
    CALINC,CALPICO INC.,5030,320,M,(650) 873-6952,"1387 San Mateo Ave.
South San Francisco, CA 94080",,5260
    CALWAT,California Water Service Compa,7360,,,,"P.O. Box 940001
San Jose
CA, 95",332544444,
    CALWES,CAL WEST CONCRETE CUTTING,,,,(510) 656-0253,"3000 TARA COURT
UNION CITY, CA",,5340
    CAPAIR,Captive Aire,5030,320,M,,"P.O. Box 60270
Charlotte, NC 28260",,5260
    CAPHAR,Capital Hardware Supply LLC.,,,,,"P.O Box 563
Bedford Park
IL, 60",,1200
    CAPTHO,Capture H2O,5060,630,S,,"Carlsbad
CA, 92",,5340
    CARCOR,Carrier Corporation,,,,,"29917 Network Place
Chicago
IL, 60",,
    CARMIN,Carmine,7485,,,,,,
    CCCARC,C & C Car Center,,,,,"900 El Camino Real
San Carlos, CA 94070",,
    CFMEQU,CFM Equipment Distributors,5040,330,E,(916) 477-8798,"P.O Box 8227
Pasadena, CA 91109-8227",,5280
    CGOGCW,C.G & O.G Detailing,6110,,,,,,
    CHBULL,C H BULL TOOLS & EQUIP,6240,,,,"P.O. BOX 511973
Los Angeles, CA 90051-1907",,
    CHEREP,Cheers Auto Repair,6100,,,,,,
    CHETEX,Chevron and Texaco Universal C,6140,,,,"P.O. Box 70995
Charlotte
NC, 28",SG673,
    CHIENG,"Chiewang Structural Engineering, Inc.",5060,600,S,,"201 Spear St Suite 1100#3215
San Francisco, CA 94015",,5340
    COAALU,"Coast Aluminum, Inc.",,,,(510) 441-1028,"Dept. 710070
P.O. Box 514670
Los Angeles, CA 90051-4670",,1200
    COMHAR,COMPONENT HARDWARE,,,,,"P.O. Box 789482
Philadelphia, PA 19178-9482",,1200
    CONSHI,Conexwest Shipping Containers,,,,,,,
    CTWMEC,"CTW MECHANICAL,INC.",5060,630,S,(415) 752-6826,"544 2ND AVENUE
SAN FRANCISCO, CA 94118",,5340
    DCLPRO,DCL Productions,7320,,,(415) 826-2200,"1284 Missouri Street
San Francisco, CA 94107",,
    DELEST,DELTA ESTIMATING SERVICES INC,9999,,,,"696 Wilderness Pointe
Prescott, AZ 86303",,
    DEPCRA,Dependable Crane Service LLC,,,,,,,5340
    DIGHEA,Dignity Health Medical Foundat,7490,,,,,,
    DIRBUY,Direct Buy Motors,1260,,,,,,
    DISINT,Distribution International,5030,320,M,,"P.O. Box 840894
Dallas
TX, 75",,5260
    DMGNOR,DMG Bay Area,5030,320,M,,"4795 Heyer Ave.
Castro Valley, CA 94546",,5260
    EMOSAF,Emod Safety Inc,5020,910,O,(510) 616-9512,"383 East Grand Avenue
South San Francisco, CA 94080",,5240
    EMOSER,Emcor Services,9999,,,,"2 Cromwell
Irvine
CA, 92",,
    ENERVE,Enervex Northern CA,5040,330,E,(650) 361-9800,"1480 Oddstad Drive
Redwood City, CA 94063",,5280
    ENGBMI,ENG BMI Company LLC,5060,560,S,,"1931 Newport Blvd., STE B
Costa Mesa, CA 92627",,5340
    FERGUS,Ferguson ,5030,320,M,,"PO BOX 740827
Los Angeles, CA 90074-0827",,5260
    FIXAIR,Fix Air,5040,330,E,(408) 437-0390,"P.O. Box 884689
Los Angeles, CA 90088-4689",,5280
    FORSUP,Force Support Services Inc,5030,320,M,,,,5260
    GEAPAC,GEARY PACIFIC SUPPLY,5040,330,E,,,,5280
    GEAPPL,G E Appliances A Haier Company,5040,330,E,,"P.O Box 743574
Los Angeles, CA 90074-3574",,5280
    GENCAB,Genuine Cable Group,5030,320,M,,"P.O. Box 734769
Chicago, IL 60673-4769",,5260
    GENINS,"General Insulation Company, Inc.",5030,320,M,,"P.O. Box 739036
Dallas, TX 75373-9036",,5260
    GLECOM,Glendon Company,5030,320,M,,"7435 Lampson Ave
Garden Grove, CA 92841",,5260
    GRAING,Grainger,5030,320,M,,"Dept. 839820032
Palatine, IL 60038-0001",,5260
    GRAPAC,Grating Pacific Inc,,,,,"1398 Mariani Court
Tracy, CA 95376",,1200
    HARFRE,Harbor Freight Tools,,,,,,,1200
    HATCRA,Hatton Crane & Rigging,5060,600,S,,"3643 Depot Rd.
Hayward, CA 94545",,5340
    HAYPIP,"Hayward Pipe & Supply Co.,Inc.",5030,320,M,(510) 887-2700,"3218 Diablo Avenue
Hayward, CA 94545",,5260
    HILTOO,Hilti,1200,,,,"P.O. Box 70299
Philadelphia, PA 19176-0299",,
    HOMDEP,The Home Depot,7350,,,,,,
    HSCCOM,HSC Commercial,5040,330,E,,,,5280
    HUAGUA,Hua Xing Guan,6100,,,,,,
    JACTUB,"Jacob Tubing, L.P.",5030,320,M,(901) 566-1110,"3948 Willow Lake Blvd
Memphis, TN 38118",,5260
    JKSHEE,J & K Sheet Metal,5030,320,M,,"1227 20th Ave
Oakland, CA 94600",,5260
    JOHCON,Johnson Control,,,,,"P.O Box 730068
Dallas, TX 75373",,
    JONSUP,Johnstone Supply,5030,320,M,,"P.O. Box 23814
Oakland, CA 94623-0814",,5260
    KAIFOU,Kaiser Permanente,6600,,,,"File 5915
Los Angeles
CA, 90",000092182-0001,
    KELINC,"Kele, Inc.",1200,,,,,,
    LARCOR,L ARDEN CO,5040,330,E,(973) 523-6400,"72 Putnam St
PATERSON, NJ 07524",,5280
    LENINT,Lennox ,5040,330,E,(972) 497-5444,"P.O. Box 910549
Dallas, TX 75391-0549",C09419,5280
    LINGAS,Linde Gas & Equipment Inc.,,,,,"DEPT LA 21511
PASADENA, CA 91185-1511",,1200
    LORSON,Lord & Sons Inc.,5030,320,M,(408) 817-8910,"P.O. Box 8464
Pasadena, CA 91109-8464",,1200
    LOUREP,Lou's Auto Repair,6140,,,,"1129 California Dr
Burlingame, CA 94010",,
    LOWESI,Lowe's,5030,320,M,,"P. O. Box 530954
Atlanta
GA, 30",,5260
    MACCOM,MacArthrur Co.,,,,,"NW 6276 P.O. Box 1450
Minneaplolis, MN 55485",,1200
    MARSUP,Marin Superior Court,6190,,,,,,
    MARYON,Yonatan M Olivera,6140,,,,,,
    MASMAC,Mastek Machinery,,,,,,,
    MASWES,"Mason West, Inc.",9999,,,,"1601 E. Miraloma Ave.
Placentia, CA 92870",,
    MCNICO,McNichols Co.,9999,,,,"PO Box 101211
Atlanta, GA 30392-211",,
    METSHE,Metalman Sheet metal,5030,320,M,,"2275 McKinnon Ave.
San Francisco, Ca 94124",,5260
    MILHAN,Miles Hancock,9999,,,,"297 Alta Vista Drive
South San Francisco
CA, 94",,
    MILIND,Milspec Industries,1200,,,,"P.O Box 8549
Pasadena, CA 91109-8602",,
    MKENGI,MK Engineers Inc.,5060,600,S,,"3450 3rd St., Ste. 4B
San Francisco, CA 94124",,5340
    MOTDIV,Motorsport Division,6100,,,,"4021 Pacific Blvd
San Mateo, CA 94403",,
    MTBENG,MTB,5060,620,S,,"1318 Rose St., Ste. A
Petaluma, CA 94954",,5340
    MUNCOR,Munters ,5040,330,E,(800) 843-5360,"DEPT CH 19943
Palatine, IL 60055",,5280
    MWSAUS,"M. W. Sausse & Company, Inc.",5040,330,E,,"28744 Witherspoon Parkway
Velencia, CA 91355",,5280
    NACOSE,National Contractor Services C,,,,,"1010 E. Jefferson St.
Phoenix
AZ, 85",,
    NATCOM,"National Comfort Institute, In",,,,,,,
    NATMIN,National Minority Supplier Dev,,,,,,,
    NAYSTE,Naylor Steel Inc,5030,320,M,,"2680 McCone Avenue
Hayward, CA 94545-1604",,5260
    NELELE,Nelco Electric Supply  Inc.,,,,,"232 W Larch RD Suite A
Tracy, CA 95304",,5260
    NORCON,Norcon,5060,630,S,,,,5340
    NORWRI,Norman S. Wright Mech. Equip. LLC. ,5040,330,E,(415) 467-0900,"99A South Hill Dr.
Brisbane, CA 94005",,5280
    OLYWHO,Olympic Wholesale Electric Sup,,,,,"2227 Corinth Avenue
Los Angeles
CA, 90",,
    OMNDUC,Omni Duct NoCal,5030,320,M,,"6400 Artesia Blvd,
Buena Park, CA 90620",,5260
    ONEMAN,"Oneto Manufacturing Co., Inc",,,,,"146 So. Maple Ave
South San Francisco
CA, 94",,
    ONIREC,O'Neil Recycling Company,5020,,O,,"925 Commericial Street
San Jose, CA 95112",,5240
    OVEPRO,Overhead Products Inc,,,,(916) 944-0587,"4045-B California Avenue
Carmichael, CA 95608",,
    PACCOA,Pacific Coast Trane,5040,330,E,,"PO BOX 44689
San Francisco
CA, 94",,5280
    PACSUP,Pacific Supply,,,,,"1675 Mission Road
South San Francisco
CA, 94",,
    PAPREN,Pape Rents,5050,250,ER,,"P. O Box 35144 #5077
Seattle, WA 98124-5144",,5300
    PENSKE,PENSKE TRUCK LEASING CO.,9999,,,(650) 873-5443,"P.O. BOX 7429
PASADENA, CA
91109-7429",,
    PICINS,Picot Inspection LLC,,,,,"1262 62nd Avenue
Oakland
CA, 94",,
    PROPRO,"Production Products, Inc.",9999,,,,"30500 Potomac Way
Charlotte Hall, MD 20622",,
    RAPREC,Rapid Recovery,,,,,"A Gas USA INC
Cincinnati
OH, 45",,
    RELCRA,RELIABLE CRANE & RIGGING INC,9999,,,(707) 778-8313,"P.O. BOX 11778
SANTA ROSA, CA 95406",,
    RSDTOT,RSD ,5030,320,M,,"26021 Atlantic Ocean Dr.
Lake Forest, CA 92630",,5260
    RUSSIG,Sigler,5040,330,E,,"P.O. Box 749472
Los Angeles, CA 90074-9472",,5280
    RVTUSW,RVTUS,5040,330,E,(509) 749-7900,"11704 E Montgomery Dr STE F
Spokane Valley, WA 99206",,5280
    RYERSO,Ryerson,,,,,"P.O. Box 100097
Pasadena, CA 91189-0097",,1200
    SABCON,Saabco Consulting Inc,7420,,,,"P.O Box 7299
Menlo Park, CA 94026",,
    SANDRY,"Sandoval Drywall,Inc.",,,,(415) 941-8185,"173 Santa Lucia Avenue
San Bruno, CA 94066",,5340
    SERNGE,"Seri Ngernwarrana, P.E.",5060,560,S,,"954 Castlewood Way
Hayward
CA, 94",,5340
    SFELEC,San Francisco Electric Supply,5030,320,M,,,,5260
    SFWIND,San Francisco Window & Door,7350,,,,,,
    SIEIND,"Sierra Industrial, Inc.",5030,320,M,(916) 541-5527,"PO BOX 276627
Sacramento, CA 95827",,5260
    SIEMEN,Siemens,9999,,,,"C/O Citibank (Bldg.Tech)
Carol Stream
IL, 60",,
    SIGPRI,SIGMA PRIME GEOSCIENCE INC,9999,,,,,,
    SIMMET,Sims Metal Management,7361,,,,"699 Seaport Blvd
Redwood City
CA, 94 650-369-41",,
    SINHOM,Sincere Home Decor,,,,,,,
    SLABRO,Slakey ,5030,320,M,,"P.O. Box 3025
Tacoma, WA 98401",,5260
    SPECAC,"Specialty A/C Products, Inc.",5040,330,E,,"P.O Box 884861
Los Angeles, CA 90088-4861",,5280
    SSFLUM,South City Lumber & Supply,5030,320,M,(650) 588-5711,"499 Railroad At Spruce 
South San Francisco, CA 94080",,5260
    SUNCON,Sunbelt Controls,5060,620,S,(818) 244-6571,"888 E. Walnut Street,
Pasadena, CA 91101-1897",,
    SUNREN,Sunbelt Rentals,5050,250,ER,,"P.O Box 409211
Atlanta, GA 30384-9211",,5300
    SUNSTA,SUNSTATE EQUIPMENT CO.,5050,250,ER,,"P.O BOX 208439
DALLASS, TX 75320",,5300
    SUPHOU,Supply House,5030,320,M,,,,5260
    SWISTA,Swing State Systems,,,,,"29229 Pacific Street
Hayward
CA, 94",,
    SYNENT,Synergy Enterprises Inc,,,,,"28436 Satellite Street
Hayward
CA, 94 510-259-17",,
    SYSERC,Syserco,5060,610,S,(510) 498-1160,"215 Fourier Ave.
Fremont
CA, 94 510-498-11",,5340
    TADMEC,TAD Mechanical,5060,560,S,,"1206 Swinging Gate Court
San Jose, CA 95120",,5340
    TELCAR,CARLOS TELLEZ GUTIERREZ,7350,,,,,,
    TENHOU,The Energy House,,,,,"1300 Industrual Rd., #17
San Carlos
CA, 94",,
    TESENG,"TESTING ENGINEERS, INCORPORATED",5060,620,S,,,,5340
    TRANEE,Trane,5040,330,E,,"P.O. Box 98167
Chicago
IL, 60",,5280
    UMIAME,"Umili America, Inc.",5030,320,M,(650) 922-2476,"39 S Linden Ave
South San Francisco, CA 94080",,5260
    UNELSU,Universal Electric Supply,,,,,,,
    UNIREF,United Refrigeration,,,,,,,5260
    UNIREN,United Rentals,5050,250,ER,,,,5300
    UNMPRO,United Metal Products,,,,,"1920 E Broadway Rd
Tempe
AZ, 85",,
    USAIRC,US Air Conditioning,5030,320,M,,"P.O. Box 1111
La Puente, CA 91749-1111",,5260
    USASCA,USA Scaffold Company,,,,,,,
    USOEQU,Usonian Equipment Systems,5040,330,E,,,,5280
    USPLAS,United States Plastic Corp,,,,,,,
    VALINS,Vally Inspection Inc.,7740,,,,"326 Woodrow Ave
Vallejo, CA 94591",,
    VALIRO,VALLEY IRON INC,5030,210,M,(800) 331-4766,"P.O BOX 12024
FRESNO, CA 93776",,5260
    VARSOL,Varitec Solutions,,,,,,,
    VERCOR,Vertiv Corporation,7380,,,,,,
    WALBUR,Walter Leon Jr. Burgess,5060,610,S,,"10442 Jennrich Ave
Garden Grove
CA, 92",,5340
    WELFAB,Welding & Fabrication Professionals,5060,630,S,,"2917 Escalon Place
Modesto, CA 95355",,5340
    WESCOA,WEST COAST POWDER COATING,5030,320,M,(650) 871-0400,"165 MITCHELL AVENUE
SOUTH SAN FRANCISCO, CA 94080",,5260
    WESREG,WESTERN REGIONAL MINORITY,7520,,,,,,
    WESSTA,Western States Tool & Supply,,,,,"1950 Alpine Way
Hayward
CA, 94",,
    WETWHO,Wetside Wholesale,,,,,,,
    WHCIIN,WHCI,5030,320,M,(510) 471-5751,"P.O. Box 256
Union City, CA 94587-0256",,5260
    WHIKOO,WhisperKool,9999,,,,,,
    ZONSYS,Zonex Systems,5040,330,E,,"5622 Engineer Drive
Huntington Beach, CA 92649",,5280
    ZORTOO,Zoro ,5030,320,M,,,,5260
